"created,""screenName"",""text""";;;;
"2022-04-27 00:15:17,""boys_505"",""@geloraco Untuk tiga periode kah? Cuma nanya jangan baper ya?""";;;;
"2022-04-26 22:57:12,""njuwantondex"",""Yang cuma baca berarti dukung tiga periode, gitu aja.";;;;
;;;;
#2024GantiPresiden;;;;
#2024GantiPresiden;;;;
" https://t.co/3vjuL9LRQY""";;;;
"2022-04-26 22:13:42,""WF10051729"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-26 21:50:00,""imandnugroho"",""60+45=105 persen. Pantesan pernah ada yang minta tiga periode <U+263A> https://t.co/mUAxkfKpC2""";;;;
"2022-04-26 21:20:19,""karyaberkata"",""@notarisanto Ket Pakdhe Jokowi dadi Walikota, nganti seprene (jare) meh tiga periode, isih ono yo sing kegiring ketikanku.";;;;
;;;;
"Nggumun aku""";;;;
"2022-04-26 21:13:29,""abanglurus"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-26 21:05:05,""keledaituli"",""RT @Mythicalforest: Astaga! Benar-benar valid!";;;;
;;;;
Tukang bangunan sekarang udah pada bawa palu, para petani bawa-bawa arit. ;;;;
;;;;
"Ngeri! Mereka m…""";;;;
"2022-04-26 20:59:33,""Cozilar_Cup"",""Tiga Periode Retweet Keras https://t.co/NeehxQw0yz""";;;;
"2022-04-26 20:42:01,""andianisharfina"",""RT @Mythicalforest: Astaga! Benar-benar valid!";;;;
;;;;
Tukang bangunan sekarang udah pada bawa palu, para petani bawa-bawa arit. ;;;;
;;;;
"Ngeri! Mereka m…""";;;;
"2022-04-26 19:05:39,""alm4s1h"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-26 18:48:14,""elvinokimochi"",""@detikcom Semoga @jokowi jadi presiden pertama Indonesia tiga periode amin""";;;;
"2022-04-26 18:26:32,""ramadhanfnu"",""@Helmi_Felis @myputun Ente sampai dua  periode ...masih tukang bohong...eeeehh...masih mau tiga periode...apa kata… https://t.co/Z8em8L65Aa""";;;;
